お知らせ,100%になれば開発に送付します。（即採用されるわけではありません、ビルド遅れの対応もたまにあります。）基本アップデート前にマスターを支給してもらっているので早い段階で作業が終わっていれば採用されています。）,,,
最新翻訳：作成導入方法,以前サーバを立ててていたときに翻訳を手伝ってくれた方の成果を反映しました。その節はご協力ありがとうございます。翻訳はD列のラインに記入すればOKです。翻訳ファイルをゲームに適用する場合は左上のファイルから、形式をカンマ区切りでダウンロードしてください。後はダウンロードしたファイルの名前をLocalization.csvとしてテキストエディターで開き、KEYより上のテキストを削除してUTF-8(ボム無し)で保存してください、それをEmpyrionをインストールしたフォルダー内”SteamLibrary\steamapps\common\Empyrion - Galactic Survival\Content\Extras”のExtraフォルダーにいれればOKです。,,,
注意,半角制御記号が全角になっていると受け付けてもらえません:アドオンの文字変換で多少は修正が効くので気楽に入力してください。,,,
,翻訳の修正に関しては自由にしてください。非表示のシートを開きっぱなしにしないでください。,,,
フォントの変更方法,お好みのFontを使いたい場合:UnityEXを使ってEmpyrionフォルダー内にある”sharedassets2”をエクスポートして出てきたファイルからフォントを見つけ、任意のフォントと入れ替えてからインポートしてください。,,,
Japanese(最新マージ版２０１７・１２・１５付け　Build７．５),,,,翻訳率:99.21% (3392/3419)
KEY,GROUP,English,Japanese,コメント
amwCoordinates,Add Marker Window [amw],Coordinates:,座標:,
amwMarkerIcon,Add Marker Window [amw],Marker Icon:,アイコン:,
amwMarkerName,Add Marker Window [amw],Marker Name:,マーカー名:,
amwRemoveonApproach,Add Marker Window [amw],Remove on Approach,到着後に削除,
amwShowonHud,Add Marker Window [amw],Show on HUD,HUDに表示,
amwTitleAdd,Add Marker Window [amw],ADD MAP MARKER,マップマーカーを追加,
amwWaypoint,Add Marker Window [amw],Waypoint,ウェイポイント,
lkwArmorName,Armor Locker Window [lkw],Name:,名称:,
lkwArmorSlot,Armor Locker Window [lkw],Armor,アーマー,
lkwArmorStats,Armor Locker Window [lkw],ARMOR STATS,アーマー性能,
lkwBoosterSlot,Armor Locker Window [lkw],Boosters,ブースター:,
lkwColdResistance,Armor Locker Window [lkw],Cold Resistance:,耐寒性:,
lkwComfortZone,Armor Locker Window [lkw],Comfort Zone (Temp.):,対応可能温度,
lkwDurability,Armor Locker Window [lkw],Durability:,耐久度:,
lkwHeatResistance,Armor Locker Window [lkw],Heat Resistance:,耐熱性:,
lkwLocker,Armor Locker Window [lkw],ARMOR LOCKER,アーマーロッカー,
lkwRadiationLimit,Armor Locker Window [lkw],Radiation Protection:,放射線防護:,
lkwRadResistance,Armor Locker Window [lkw],Radiation Resistance:,放射線抵抗:,
lkwRepairs,Armor Locker Window [lkw],Number of Repairs:,修理数:,
lkwStoredArmor,Armor Locker Window [lkw],Locker,ロッカー,
bmAlienForest,Biome Name,Alien Forest,エイリアン・フォレスト,
bmAlienSavanna,Biome Name,Alien Savanna,エイリアン・サバンナ,
bmArcticForest,Biome Name,Artic Forest,厳寒の森,
bmArcticHighForest,Biome Name,Artic High Forest,寒高地,
bmArcticHighPlains,Biome Name,High Plains,高原,
bmArcticIntermediatePlains,Biome Name,Intermediate Plains,平原,
bmArcticLowPlains,Biome Name,Hot Springs,低地,
bmBarrenFog,Biome Name,Mist,霧,
bmBarrenOpenPlains,Biome Name,Open Plains,平原,
bmBarrenRocks,Biome Name,Barren Rocks,砂岩地帯,
bmDesertHighPlains,Biome Name,High Plains,高原,
bmDesertLargeRocks,Biome Name,Large Rocks,大きな岩,
bmDesertLowMountains,Biome Name,Low Mountains,丘陵,
bmDesertLowPlains,Biome Name,Low Plains,低地,
bmDesertSmallLake,Biome Name,Lake,湖,
bmDesertSolitude,Biome Name,Desert Solitude,砂漠,
bmIslands,Biome Name,Islands,島,
bmLava,Biome Name,Lava,溶岩,
bmLavaFog,Biome Name,Lava Fog,溶岩濃霧,
bmLavaPlains,Biome Name,Lava Plains,溶岩地帯,
bmMountains,Biome Name,Mountains,山地,
bmOcean,Biome Name,Ocean,海洋,
bmOpenPlains,Biome Name,Open Plains,平原,
bmSmallLake,Biome Name,Lake,湖,
bmSwamp,Biome Name,Swamp,沼地,
bmTropicalForest,Biome Name,Tropical Forest,熱帯林,
bmTropicalIsland,Biome Name,Tropical Island,亜熱帯,
bmWater,Biome Name,Lake,湖,
AlienBlocks,Block Building,Alien Building Blocks,エイリアンブロック,
AlienFull,Block Building,Alien Block,エイリアンブロック,
AlienInteriorGreen01,Block Building,Alien Block (Green),エイリアンブロック(グリーン),
AlienInteriorGreen02,Block Building,Alien Block 2 (Green),エイリアンブロック2(グリーン),
AlienInteriorGreenWedge01,Block Building,Alien Slope (Green),エイリアンスロープ(グリーン),
AlienThin,Block Building,Alien Block,エイリアンブロック,
Artificialmass,Block Building,Artificial Mass,バラスト,
ArtMassBlocks,Block Building,Artificial Mass Blocks,バラスト・ブロック,
ArtMassCVBlocks,Block Building,Artificial Mass Blocks,バラスト・ブロック,
ArtMassHeavy,Block Building,Artificial Mass (Heavy),バラスト(ヘビー),
ArtMassHeavyCV,Block Building,Artificial Mass (Heavy),バラスト(ヘビー),
ArtMassLight,Block Building,Artificial Mass (Light),バラスト(ライト),
ArtMassLightCV,Block Building,Artificial Mass (Light),バラスト(ライト),
ArtMassMedium,Block Building,Artificial Mass (Medium),バラスト(ミディアム),
ArtMassMediumCV,Block Building,Artificial Mass (Medium),バラスト(ミディアム),
ConcreteBlocks,Block Building,Concrete Blocks,コンクリート・ブロック,
ConcreteDestroyedBlocks,Block Building,Concrete Blocks - Destroyed,コンクリート・ブロック（破損）,
ConcreteFull,Block Building,Concrete Block,コンクリート・ブロック,
ConcreteFullDestroyed,Block Building,Concrete Block - Destroyed,コンクリート・ブロック（破損）,
ConcreteThin,Block Building,Concrete Block,コンクリート・ブロック,
ConcreteThinBlocks,Block Building,Concrete Blocks (thin),薄型コンクリート・ブロック,
ConcreteThinDestroyed,Block Building,Concrete Blocks (thin) - Destroyed,薄型コンクリート・ブロック（破損）,
GrowingPot,Block Building,Growing Plot (Steel),農地(スチール),
GrowingPotConcrete,Block Building,Growing Plot (Concrete),農地(コンクリート),
GrowingPotWood,Block Building,Growing Plot (Wood),農地(木材),
HullArmoredFull,Block Building,Hardened Steel Block,硬化スチールブロック,
HullArmoredFullLarge,Block Building,Hardened Steel Block L,硬化スチールブロックL,
HullArmoredFullSmall,Block Building,Hardened Steel Block S,硬化スチールブロックS,
HullArmoredLargeBlocks,Block Building,Hardened Steel Blocks L,硬化スチールブロックL,
HullArmoredSmallBlocks,Block Building,Hardened Steel Blocks S,硬化スチールブロックS,
HullArmoredThin,Block Building,Hardened Steel Block,硬化スチールブロック,
HullArmoredThinLarge,Block Building,Hardened Steel Block L,硬化スチールブロックL,
HullArmoredThinLargeBlocks,Block Building,Hardened Steel Blocks L (thin),薄型硬化スチールブロックL,
HullArmoredThinSmall,Block Building,Hardened Steel Block S,硬化スチールブロックL,
HullArmoredThinSmallBlocks,Block Building,Hardened Steel Blocks S (thin),薄型硬化スチールブロックS,
HullCombatFullLarge,Block Building,Combat Steel Block L,戦闘用スチールブロックL,
HullCombatLargeBlocks,Block Building,Combat Steel Blocks L,戦闘用スチールブロックL,
HullCombatThinLarge,Block Building,Combat Steel Block L,戦闘用スチールブロックL,
HullCombatThinLargeBlocks,Block Building,Combat Steel Blocks L (thin),薄型戦闘用スチールブロックL,
HullDestroyed,Block Building,Steel Blocks - Destroyed,スチールブロック（破損）,
HullFull,Block Building,Steel Block,スチールブロック,
HullFullLarge,Block Building,Steel Block L,スチールブロックL,
HullFullLargeDestroyed,Block Building,Steel Block L - Destroyed,スチールブロックL（破損）,
HullFullSmall,Block Building,Steel Block S,スチールブロックS,
HullFullSmallDestroyed,Block Building,Steel Block S - Destroyed,スチールブロックS（破損）,
HullLargeBlocks,Block Building,Steel Blocks L,スチールブロックL,
HullLargeDestroyedBlocks,Block Building,Steel Blocks L - Destroyed,スチールブロックL（破損）,
HullSmallBlocks,Block Building,Steel Blocks S,スチールブロックS,
HullSmallDestroyedBlocks,Block Building,Steel Blocks S - Destroyed,スチールブロックS（破損）,
HullThin,Block Building,Steel Block,スチールブロック,
HullThinLarge,Block Building,Steel Block L,スチールブロックL,
HullThinLargeBlocks,Block Building,Steel Blocks L (thin),薄型スチールブロックL,
HullThinLargeDestroyed,Block Building,Steel Blocks L (thin) - Destroyed,薄型スチールブロックL（破損）,
HullThinSmall,Block Building,Steel Block S,スチールブロックS,
HullThinSmallBlocks,Block Building,Steel Blocks S (thin),薄型スチールブロックS,
HullThinSmallDestroyed,Block Building,Steel Blocks S (thin) - Destroyed,薄型スチールブロックL（破損）,
RailingDiagonal,Block Building,Railing Diagonal,ブレース・ゲージ,
RailingDiagonalGlass,Block Building,Glass Railing Diagonal,ブレース・ガラスゲージ,
RailingDiagonalGlassInv,Block Building,Glass Railing Diagonal,ブレース・ガラスゲージ,
RailingL,Block Building,Railing L-Shape,ゲージL字型,
RailingLGlass,Block Building,Glass Railing L-Shape,ガラスゲージL字型,
RailingLGlassInv,Block Building,Glass Railing L-Shape,ガラスゲージL字型,
RailingRound,Block Building,Railing Round,ラウンド・ゲージ,
RailingRoundGlass,Block Building,Glass Railing Round,ラウンド・ガラスゲージ,
RailingRoundGlassInv,Block Building,Glass Railing Round,ラウンド・ガラスゲージ,
RailingSlopeGlassLeft,Block Building,Glass Railing Slope (left),ガラス・ゲージ(左),
RailingSlopeGlassLeftInv,Block Building,Glass Railing Slope (left),ガラス・ゲージ(左),
RailingSlopeGlassRight,Block Building,Glass Railing Slope (right),ガラス・ゲージ(右),
RailingSlopeGlassRightInv,Block Building,Glass Railing Slope (right),ガラス・ゲージ(右),
RailingSlopeLeft,Block Building,Railing Slope (left),スロープ・ゲージ(左),
RailingSlopeRight,Block Building,Railing Slope (right),スロープ・ゲージ(右),
RailingVert,Block Building,Railing,ゲージ,
RailingVertGlass,Block Building,Glass Railing,ガラスゲージ,
RailingVertGlassInv,Block Building,Glass Railing,ガラスゲージ,
RampSteep,Block Building,Ramp Steep,スロープ・ランプ,
Stairs1x1x1,Block Building,Stairs Wedge (texturable),階段ウェッジ(texturable),
StairsBlocks,Block Building,Stairs Blocks,階段ブロック,
StairsMS,Block Building,Stairs Freestanding,階段フリースタンディング,
StairsWedge,Block Building,Stairs Wedge,階段ウェッジ,
StairsWedgeLong,Block Building,Stairs Wedge Long,階段ウェッジロング,
TrussCorner,Block Building,Corner,トラス・コーナー,
TrussCornerRoundThin,Block Building,Round Slope Thin,薄型ラウンドスロープ,
TrussCornerRoundThin2,Block Building,Corner Round Thin 2,薄型コーナーラウンド2,
TrussCornerThin,Block Building,Thin Corner,薄型コーナー,
TrussCube,Block Building,Cube,キューブ,
TrussCurveOutSlope,Block Building,Curved Corner,カーブ・コーナ,
TrussCylinder,Block Building,Cylinder,シリンダー,
TrussHalfRound,Block Building,Round Corner,ラウンドコーナー,
TrussLargeBlocks,Block Building,Truss Blocks L,トラスブロックL,
TrussQuarterRound,Block Building,Round Slope,ラウンドスロープ,
TrussQuarterRoundInv,Block Building,Inward Round Slope,ラウンドスロープ(Inward),
TrussQuarterRoundThin,Block Building,Round Slope Thin,薄型ラウンドスロープ,
TrussSmallBlocks,Block Building,Truss Blocks S,トラスブロックS,
TrussWall,Block Building,Wall,壁,
TrussWedge,Block Building,Slope,スロープ,
TrussWedgeThin,Block Building,Thin Slope,薄型スロープ,
WalkwayBlocks,Block Building,Walkway & Railing Blocks,通路ブロック,
WalkwaySlope,Block Building,Walkway Slope,通路ブロック・スロープ,
WalkwaySlopeNew,Block Building,Walkway Slope 2,通路ブロック・スロープ2,
WalkwayVert02,Block Building,Walkway 2,通路ブロック２,
WalkwayVertNew,Block Building,Walkway,通路ブロック３,
Window_3side1x1,Block Building,Vertical Corner,縦型コーナー,
Window_3side1x1Inv,Block Building,Vertical Corner,縦型コーナー,
Window_3side1x1Thick,Block Building,Vertical Corner,縦型コーナー,
Window_3side1x1ThickInv,Block Building,Vertical Corner,縦型コーナー,
Window_c1x1,Block Building,Corner 1x1,ウィンドウコーナー1x1,
Window_c1x1Inv,Block Building,Corner 1x1,ウィンドウコーナー1x1,
Window_c1x1Thick,Block Building,Corner 1x1,ウィンドウコーナー1x1,
Window_c1x1ThickInv,Block Building,Corner 1x1,ウィンドウコーナー1x1,
Window_c1x2,Block Building,Corner 1x2,ウィンドウコーナー1x2,
Window_c1x2Inv,Block Building,Corner 1x2,ウィンドウコーナー1x2,
Window_c1x2Thick,Block Building,Corner 1x2,ウィンドウコーナー1x2,
Window_c1x2ThickInv,Block Building,Corner 1x2,ウィンドウコーナー1x2,
Window_cc1x1,Block Building,Corner Thin,薄型ウィンドウコーナー,
Window_cc1x1Inv,Block Building,Corner Thin,薄型ウィンドウコーナー,
Window_cc1x1Thick,Block Building,Corner Thin,薄型ウィンドウコーナー,
Window_cc1x1ThickInv,Block Building,Corner Thin,薄型ウィンドウコーナー,
Window_cr1x1,Block Building,Round Vertical,縦型ラウンド・ウインドウ,
Window_cr1x1Inv,Block Building,Round Vertical,縦型ラウンド・ウインドウ,
Window_cr1x1Thick,Block Building,Round Vertical,縦型ラウンド・ウインドウ,
Window_cr1x1ThickInv,Block Building,Round Vertical,縦型ラウンド・ウインドウ,
Window_crc1x1,Block Building,Round Corner,ラウンドコーナー・ウインドウ,
Window_crc1x1Inv,Block Building,Round Corner,ラウンドコーナー・ウインドウ,
Window_crc1x1Thick,Block Building,Round Corner,ラウンドコーナー・ウインドウ,
Window_crc1x1ThickInv,Block Building,Round Corner,ラウンドコーナー・ウインドウ,
Window_crctw1x1,Block Building,Round Corner Thin,薄型ラウンドコーナー・ウインドウ,
Window_crctw1x1Inv,Block Building,Round Corner Thin,薄型ラウンドコーナー・ウインドウ,
Window_crctw1x1Thick,Block Building,Round Corner Thin,薄型ラウンドコーナー・ウインドウ,
Window_crctw1x1ThickInv,Block Building,Round Corner Thin,薄型ラウンドコーナー・ウインドウ,
Window_creA1x1,Block Building,Connector A,ウィンドウ・コネクタA,
Window_creA1x1Inv,Block Building,Connector A,ウィンドウ・コネクタA,
Window_creA1x1Thick,Block Building,Connector A,ウィンドウ・コネクタA,
Window_creA1x1ThickInv,Block Building,Connector A,ウィンドウ・コネクタA,
Window_creB1x1,Block Building,Connector B,ウィンドウ・コネクタB,
Window_creB1x1Inv,Block Building,Connector B,ウィンドウ・コネクタB,
Window_creB1x1Thick,Block Building,Connector B,ウィンドウ・コネクタB,
Window_creB1x1ThickInv,Block Building,Connector B,ウィンドウ・コネクタB,
Window_crl1x1,Block Building,Round Corner Long,ラウンドコーナーロング,
Window_crl1x1Inv,Block Building,Round Corner Long,ラウンドコーナーロング,
Window_crl1x1Thick,Block Building,Round Corner Long,ラウンドコーナーロング,
Window_crl1x1ThickInv,Block Building,Round Corner Long,ラウンドコーナーロング,
Window_crsd1x1,Block Building,Round Side,ラウンドサイド,
Window_crsd1x1Inv,Block Building,Round Side,ラウンドサイド,
Window_crsd1x1Thick,Block Building,Round Side,ラウンドサイド,
Window_crsd1x1ThickInv,Block Building,Round Side,ラウンドサイド,
Window_crse1x1,Block Building,Round Corner Edge,ラウンドコーナーエッジ,
Window_crse1x1Inv,Block Building,Round Corner Edge,ラウンドコーナーエッジ,
Window_crse1x1Thick,Block Building,Round Corner Edge,ラウンドコーナーエッジ,
Window_crse1x1ThickInv,Block Building,Round Corner Edge,ラウンドコーナーエッジ,
Window_L1x1,Block Building,Vertical L-Shape,縦型L字型ウィンドウ,
Window_L1x1Inv,Block Building,Vertical L-Shape,縦型L字型ウィンドウ,
Window_L1x1Thick,Block Building,Vertical L-Shape,縦型L字型ウィンドウ,
Window_L1x1ThickInv,Block Building,Vertical L-Shape,縦型L字型ウィンドウ,
Window_s1x1,Block Building,Slope 1x1,ウインドウスロープ1x1,
Window_s1x1Inv,Block Building,Slope 1x1,ウインドウスロープ1x2,
Window_s1x1Thick,Block Building,Slope 1x1,ウインドウスロープ1x2,
Window_s1x1ThickInv,Block Building,Slope 1x1,ウインドウスロープ1x2,
Window_s1x2,Block Building,Slope 1x2,ウインドウスロープ1x2,
Window_s1x2Inv,Block Building,Slope 1x2,ウインドウスロープ1x2,
Window_s1x2Thick,Block Building,Slope 1x2,ウインドウスロープ1x2,
Window_s1x2ThickInv,Block Building,Slope 1x2,ウインドウスロープ1x2,
Window_sd1x1,Block Building,Side 1x1,サイド・ウインドウ1x1,
Window_sd1x1Inv,Block Building,Side 1x1,サイド・ウインドウ1x0,
Window_sd1x1Thick,Block Building,Side 1x1,サイド・ウインドウ1x1,
Window_sd1x1ThickInv,Block Building,Side 1x1,サイド・ウインドウ1x1,
Window_sd1x2,Block Building,Side 1x2,サイド・ウインドウ1x2,
Window_sd1x2Inv,Block Building,Side 1x2,サイド・ウインドウ1x2,
Window_sd1x2Thick,Block Building,Side 1x2,サイド・ウインドウ1x2,
Window_sd1x2ThickInv,Block Building,Side 1x2,サイド・ウインドウ1x2,
Window_sd1x2V2,Block Building,Side 2 1x2,サイド・ウインドウ2 1x2,
Window_sd1x2V2Inv,Block Building,Side 2 1x2,サイド・ウインドウ1x2,
Window_sd1x2V2Thick,Block Building,Side 2 1x2,サイド・ウインドウ1x2,
Window_sd1x2V2ThickInv,Block Building,Side 2 1x2,サイド・ウインドウ1x2,
